Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,689622945,RUA FRANCISCO ARAÚJO,,MG,3111903,5M00G9W,WCDMA,,,874.5,,50,FB,Greenfield,não,760,056001603518,16.1,25,74,2,X,50,008940701882,40,-21.02167,-45.17889,G,2021-11-29,2007-10-03,,4d5c01a0b10db,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,689622945,RUA FRANCISCO ARAÚJO,,MG,3111903,5M00G9W,WCDMA,,,874.5,,140,FB,Greenfield,não,760,056001603518,16.1,25,74,2,X,50,008940701882,40,-21.02167,-45.17889,G,2021-11-29,2007-10-03,,4d5c01a0b10dc,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,689622945,RUA FRANCISCO ARAÚJO,,MG,3111903,5M00G9W,WCDMA,,,874.5,,260,FB,Greenfield,não,760,056001603518,16.1,25,74,2,X,50,008940701882,40,-21.02167,-45.17889,G,2021-11-29,2007-10-03,,4d5c01a0b10dd,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,689622945,RUA FRANCISCO ARAÚJO,,MG,3111903,200KG7W,GSM,,,953.75,,140,FB,Greenfield,não,760,013590301705,16.8,30,90,7,X,47,011560301882,50,-21.02167,-45.17889,G,2021-11-29,2007-10-03,,4d5c01a0b10e0,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,689622945,RUA FRANCISCO ARAÚJO,,MG,3111903,200KG7W,GSM,,,1871.25,,260,FB,Greenfield,não,760,005390301705,17,30,88,7.5,X,48,006030301882,33,-21.02167,-45.17889,G,2021-11-29,2007-10-03,,4d5c01a0b10e1,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,689622945,RUA FRANCISCO ARAÚJO,,MG,3111903,200KG7W,GSM,,,1873.75,,140,FB,Greenfield,não,760,026960904280,14.4,28,65,13.3,X,49,006030301882,33,-21.02167,-45.17889,G,2021-11-29,2007-10-03,,4d5c01a0b10e2,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,689622945,RUA FRANCISCO ARAÚJO,,MG,3111903,200KG7W,GSM,,,1876.25,,260,FB,Greenfield,não,760,005390301705,17,30,88,7.5,X,48,006030301882,33,-21.02167,-45.17889,G,2021-11-29,2007-10-03,,4d5c01a0b10e3,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,689622945,RUA FRANCISCO ARAÚJO,,MG,3111903,200KG7W,GSM,,,1878.75,,260,FB,Greenfield,não,760,005390301705,17,30,88,7.5,X,48,006030301882,33,-21.02167,-45.17889,G,2021-11-29,2007-10-03,,4d5c01a0b10e4,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,16972008,689622945,RUA FRANCISCO ARAÚJO,,MG,3111903,5M00G9W,WCDMA,,,2160,,50,FB,Greenfield,não,760,056001603518,16.1,25,74,2,X,50,018930701882,40,-21.02167,-45.17889,G,2021-11-29,2007-10-03,,4d5c01a0b10e5,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,689622945,RUA FRANCISCO ARAÚJO,,MG,3111903,200KG7W,GSM,,,953.75,,0,FB,Greenfield,não,167,006830401705,11.1,0,0,0,V,51,011560301882,50,-21.02167,-45.17889,G,2021-11-29,2007-10-03,,4d5c01a0b10e7,2023-04-29,,
