Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,16972008,5101891,"RUA DESEMBARGADOR SABINO LUSTOSA,S/N,CENTRO",,MG,3138203,5M00G9W,WCDMA,,,2165,2155,300.0,FB,Greenfield,não,760,027820904280,16.0,32.0,71.00,9.60,X,70.0,018930701882,40.000,-21.25417,-45.00389,G,2021-07-23,1999-08-17,,4d5c019f6778d,2023-04-30,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,16972008,5101891,"RUA DESEMBARGADOR SABINO LUSTOSA,S/N,CENTRO",,MG,3138203,5M00G9W,WCDMA,,,2165,2155,150.0,FB,Greenfield,não,760,027820904280,16.0,32.0,71.00,9.60,X,70.0,018930701882,40.000,-21.25417,-45.00389,G,2021-07-23,1999-08-17,,4d5c019f6778e,2023-04-30,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,16972008,5101891,"RUA DESEMBARGADOR SABINO LUSTOSA,S/N,CENTRO",,MG,3138203,5M00G9W,WCDMA,,,2165,2155,300.0,FB,Greenfield,não,760,027820904280,16.0,32.0,71.00,9.60,X,70.0,018930701882,40.000,-21.25417,-45.00389,G,2021-07-23,1999-08-17,,4d5c019f6778f,2023-04-30,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,679892007,5101891,"RUA DESEMBARGADOR SABINO LUSTOSA,S/N,CENTRO",,MG,3138203,5M00G9W,WCDMA,,,880,869,150.0,FB,Greenfield,não,760,027820904280,16.0,32.0,71.00,9.60,X,70.0,008940701882,40.000,-21.25417,-45.00389,G,2021-07-23,1999-08-17,,4d5c019f67791,2023-04-29,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,679892007,5101891,"RUA DESEMBARGADOR SABINO LUSTOSA,S/N,CENTRO",,MG,3138203,5M00G9W,WCDMA,,,880,869,300.0,FB,Greenfield,não,760,027820904280,16.0,32.0,71.00,9.60,X,70.0,008940701882,40.000,-21.25417,-45.00389,G,2021-07-23,1999-08-17,,4d5c019f67792,2023-04-29,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,679892007,5101891,"RUA DESEMBARGADOR SABINO LUSTOSA,S/N,CENTRO",,MG,3138203,5M00G9W,WCDMA,,,880,869,300.0,FB,Greenfield,não,760,027820904280,16.0,32.0,71.00,9.60,X,70.0,008940701882,40.000,-21.25417,-45.00389,G,2021-07-23,1999-08-17,,4d5c019f67793,2023-04-29,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,679892007,5101891,"RUA DESEMBARGADOR SABINO LUSTOSA,S/N,CENTRO",,MG,3138203,200KG7W,GSM,,,1872.5,1870,10.0,FB,Greenfield,não,760,000150201293,16.5,25.0,88.00,7.00,X,70.0,006030301882,33.000,-21.25417,-45.00389,G,2021-07-23,1999-08-17,,4d5c019f67799,2023-04-29,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,679892007,5101891,"RUA DESEMBARGADOR SABINO LUSTOSA,S/N,CENTRO",,MG,3138203,200KG7W,GSM,,,1872.5,1870,240.0,FB,Greenfield,não,760,000150201293,16.5,25.0,88.00,7.00,X,70.0,006030301882,33.000,-21.25417,-45.00389,G,2021-07-23,1999-08-17,,4d5c019f6779a,2023-04-29,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,679892007,5101891,"RUA DESEMBARGADOR SABINO LUSTOSA,S/N,CENTRO",,MG,3138203,200KG7W,GSM,,,1872.5,1870,120.0,FB,Greenfield,não,760,026960904280,12.0,27.0,71.00,14.90,X,71.0,006030301882,33.000,-21.25417,-45.00389,G,2021-07-23,1999-08-17,,4d5c019f6779b,2023-04-29,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,679892007,5101891,"RUA DESEMBARGADOR SABINO LUSTOSA,S/N,CENTRO",,MG,3138203,200KG7W,GSM,,,1875,1872.5,120.0,FB,Greenfield,não,760,026960904280,12.0,27.0,71.00,14.90,X,71.0,006030301882,33.000,-21.25417,-45.00389,G,2021-07-23,1999-08-17,,4d5c019f6779c,2023-04-29,,
