Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,327631198,SITIO ALTO DA SERRA,,MG,3144607,200KG7W,GSM,,,953.75,908.75,200,FB,Greenfield,NA,760,056001603518,16.1,25,74,6,X,56,011560301882,50,-21.20867,-45.19733,G,2022-07-28,1999-03-12,,4d5c019f71ba0,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,327631198,SITIO ALTO DA SERRA,,MG,3144607,200KG7W,GSM,,,953.75,908.75,280,FB,Greenfield,NA,760,056001603518,16.1,25,74,6,X,56,011560301882,50,-21.20867,-45.19733,G,2022-07-28,1999-03-12,,4d5c019f71ba1,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,687462401,RUA CAPITÃO VICENTE RIBEIRO,,MG,3144607,5M00G9W,WCDMA,,,874.5,829.5,10,FB,Greenfield,não,760,056001603518,15.4,25,75,4,X,60,000081201882,84.5,-21.20861,-45.19722,G,2022-12-22,2021-06-15,,4d5c01a0844e3,2023-04-20,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,687462401,RUA CAPITÃO VICENTE RIBEIRO,,MG,3144607,200KG7W,GSM,,,1873.75,1778.75,10,FB,Greenfield,não,760,000150201293,16.5,25,88,7,X,60,006030301882,33,-21.20861,-45.19722,G,2022-12-22,2021-06-15,,4d5c01a0844e5,2023-04-20,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,687462401,RUA CAPITÃO VICENTE RIBEIRO,,MG,3144607,200KG7W,GSM,,,1873.75,1778.75,110,FB,Greenfield,não,760,001210201293,17.7,30,67,6.8,X,60,006030301882,33,-21.20861,-45.19722,G,2022-12-22,2021-06-15,,4d5c01a0844e6,2023-04-20,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,687462401,RUA CAPITÃO VICENTE RIBEIRO,,MG,3144607,200KG7W,GSM,,,1878.75,1783.75,10,FB,Greenfield,não,760,000150201293,16.5,25,88,7,X,60,006030301882,33,-21.20861,-45.19722,G,2022-12-22,2021-06-15,,4d5c01a0844e7,2023-04-20,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,687462401,RUA CAPITÃO VICENTE RIBEIRO,,MG,3144607,200KG7W,GSM,,,1878.75,1783.75,110,FB,Greenfield,não,760,001210201293,17.7,30,67,6.8,X,60,006030301882,33,-21.20861,-45.19722,G,2022-12-22,2021-06-15,,4d5c01a0844e8,2023-04-20,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,687462401,RUA CAPITÃO VICENTE RIBEIRO,,MG,3144607,5M00G9W,WCDMA,,,874.5,829.5,250,FB,Greenfield,não,760,056001603518,15.4,25,75,4,X,55,000081201882,84.5,-21.20861,-45.19722,G,2022-12-22,2021-06-15,,4d5c01a0844e9,2023-04-20,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,687462401,RUA CAPITÃO VICENTE RIBEIRO,,MG,3144607,200KG7W,GSM,,,953.75,908.75,250,FB,Greenfield,não,760,013590301705,16.8,30,90,7,X,60,011560301882,50,-21.20861,-45.19722,G,2022-12-22,2021-06-15,,4d5c01a0844eb,2023-04-20,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,687462401,RUA CAPITÃO VICENTE RIBEIRO,,MG,3144607,200KG7W,GSM,,,1871.25,1776.25,110,FB,Greenfield,não,760,001210201293,17.7,30,67,6.8,X,60,006030301882,33,-21.20861,-45.19722,G,2022-12-22,2021-06-15,,4d5c01a0844ec,2023-04-20,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,687462401,RUA CAPITÃO VICENTE RIBEIRO,,MG,3144607,200KG7W,GSM,,,1876.25,1781.25,10,FB,Greenfield,não,760,000150201293,16.5,25,88,7,X,60,006030301882,33,-21.20861,-45.19722,G,2022-12-22,2021-06-15,,4d5c01a0844ed,2023-04-20,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,687462401,RUA CAPITÃO VICENTE RIBEIRO,,MG,3144607,5M00G9W,WCDMA,,,874.5,829.5,110,FB,Greenfield,não,760,056001603518,15.4,25,75,4,X,55,000081201882,84.5,-21.20861,-45.19722,G,2022-12-22,2021-06-15,,4d5c01a0844ee,2023-04-20,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,687462401,RUA CAPITÃO VICENTE RIBEIRO,,MG,3144607,200KG7W,GSM,,,953.75,908.75,110,FB,Greenfield,não,760,013300301705,14.5,40,90,14.5,V,60,011560301882,50,-21.20861,-45.19722,G,2022-12-22,2021-06-15,,4d5c01a0844f0,2023-04-20,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,687462401,RUA CAPITÃO VICENTE RIBEIRO,,MG,3144607,200KG7W,GSM,,,1871.25,1776.25,10,FB,Greenfield,não,760,000150201293,16.5,25,88,7,X,60,006030301882,33,-21.20861,-45.19722,G,2022-12-22,2021-06-15,,4d5c01a0844f1,2023-04-20,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,687462401,RUA CAPITÃO VICENTE RIBEIRO,,MG,3144607,200KG7W,GSM,,,1876.25,1781.25,110,FB,Greenfield,não,760,001210201293,17.7,30,67,6.8,X,60,006030301882,33,-21.20861,-45.19722,G,2022-12-22,2021-06-15,,4d5c01a0844f2,2023-04-20,,
LIC-LIC-01,CLARO S.A.,50409307637,010,19592020,687532132,R CAPITÃO FRANCISCO LIMA,,MG,3144607,200KG7W,GSM,,,1842.5,1747.5,310,FB,Greenfield,sim,760,024731703257,13.86,25,68.89,2,x,50,058231803257,40,-21.2346,-45.2391,G,2021-05-19,2005-10-11,,4d5c01a089044,2035-04-19,,
LIC-LIC-01,CLARO S.A.,50409307637,010,35332011,687532132,R CAPITÃO FRANCISCO LIMA,,MG,3144607,200KG7W,GSM,,,1862.5,1767.5,310,FB,Greenfield,sim,760,024731703257,13.86,25,68.89,2,x,50,058231803257,40,-21.2346,-45.2391,G,2021-05-19,2005-10-11,,4d5c01a089045,2023-04-30,,
LIC-LIC-01,CLARO S.A.,50409307637,010,19592020,687532132,R CAPITÃO FRANCISCO LIMA,,MG,3144607,200KG7W,GSM,,,1842.5,1747.5,90,FB,Greenfield,sim,760,024731703257,13.86,25,68.89,1,x,50,058231803257,40,-21.2346,-45.2391,G,2021-05-19,2005-10-11,,4d5c01a089046,2035-04-19,,
LIC-LIC-01,CLARO S.A.,50409307637,010,35332011,687532132,R CAPITÃO FRANCISCO LIMA,,MG,3144607,200KG7W,GSM,,,1862.5,1767.5,90,FB,Greenfield,sim,760,024731703257,13.86,25,68.89,1,x,50,058231803257,40,-21.2346,-45.2391,G,2021-05-19,2005-10-11,,4d5c01a089047,2023-04-30,,
LIC-LIC-01,CLARO S.A.,50409307637,010,19592020,687532132,R CAPITÃO FRANCISCO LIMA,,MG,3144607,200KG7W,GSM,,,1842.5,1747.5,180,FB,Greenfield,sim,760,024731703257,13.86,25,68.89,1,x,50,058231803257,40,-21.2346,-45.2391,G,2021-05-19,2005-10-11,,4d5c01a089048,2035-04-19,,
LIC-LIC-01,CLARO S.A.,50409307637,010,35332011,687532132,R CAPITÃO FRANCISCO LIMA,,MG,3144607,200KG7W,GSM,,,1862.5,1767.5,180,FB,Greenfield,sim,760,024731703257,13.86,25,68.89,1,x,50,058231803257,40,-21.2346,-45.2391,G,2021-05-19,2005-10-11,,4d5c01a089049,2023-04-30,,
LIC-LIC-01,CLARO S.A.,50409307637,010,19592020,687532132,R CAPITÃO FRANCISCO LIMA,,MG,3144607,200KG7W,GSM,,,958.75,913.75,310,FB,Greenfield,sim,760,019221503257,14.43,24,69.68,1,x,50,032661803257,60,-21.2346,-45.2391,G,2021-05-19,2005-10-11,,4d5c01a08904a,2035-04-19,,
LIC-LIC-01,CLARO S.A.,50409307637,010,19592020,687532132,R CAPITÃO FRANCISCO LIMA,,MG,3144607,200KG7W,GSM,,,958.75,913.75,70,FB,Greenfield,sim,760,019221503257,14.43,24,69.68,1,x,50,032661803257,60,-21.2346,-45.2391,G,2021-05-19,2005-10-11,,4d5c01a08904b,2035-04-19,,
LIC-LIC-01,CLARO S.A.,50409307637,010,19592020,687532132,R CAPITÃO FRANCISCO LIMA,,MG,3144607,200KG7W,GSM,,,958.75,913.75,130,FB,Greenfield,sim,760,019221503257,14.43,24,69.68,1,x,50,032661803257,60,-21.2346,-45.2391,G,2021-05-19,2005-10-11,,4d5c01a08904c,2035-04-19,,
LIC-LIC-01,CLARO S.A.,50409307637,010,16952008,687532132,R CAPITÃO FRANCISCO LIMA,,MG,3144607,5M00D7W,WCDMA,,,2117.5,1927.5,310,FB,Greenfield,sim,760,024731703257,13.86,25,68.89,2,x,50,083071803257,40,-21.2346,-45.2391,G,2021-05-19,2005-10-11,,4d5c01a08904d,2023-04-30,,
LIC-LIC-01,CLARO S.A.,50409307637,010,16952008,687532132,R CAPITÃO FRANCISCO LIMA,,MG,3144607,5M00D7W,WCDMA,,,2117.5,1927.5,90,FB,Greenfield,sim,760,024731703257,13.86,25,68.89,1,x,50,083071803257,40,-21.2346,-45.2391,G,2021-05-19,2005-10-11,,4d5c01a08904e,2023-04-30,,
LIC-LIC-01,CLARO S.A.,50409307637,010,16952008,687532132,R CAPITÃO FRANCISCO LIMA,,MG,3144607,5M00D7W,WCDMA,,,2117.5,1927.5,180,FB,Greenfield,sim,760,024731703257,13.86,25,68.89,1,x,50,083071803257,40,-21.2346,-45.2391,G,2021-05-19,2005-10-11,,4d5c01a08904f,2023-04-30,,
LIC-LIC-01,CLARO S.A.,50409307637,010,16952008,687532132,R CAPITÃO FRANCISCO LIMA,,MG,3144607,5M00D7W,WCDMA,,,2117.5,1927.5,310,FB,Greenfield,sim,760,024731703257,13.86,25,68.89,2,x,50,083071803257,40,-21.2346,-45.2391,G,2021-05-19,2005-10-11,,4d5c01a089050,2023-04-30,,
LIC-LIC-01,CLARO S.A.,50409307637,010,16952008,687532132,R CAPITÃO FRANCISCO LIMA,,MG,3144607,5M00D7W,WCDMA,,,2117.5,1927.5,90,FB,Greenfield,sim,760,024731703257,13.86,25,68.89,1,x,50,083071803257,40,-21.2346,-45.2391,G,2021-05-19,2005-10-11,,4d5c01a089051,2023-04-30,,
