Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,16972008,422415081,RUA LEVINDO GOMIDE,,MG,3149903,5M00G9W,WCDMA,,,2160,1970,60,FB,Greenfield,não,760,056001603518,16.1,25,74,2,X,50,039201301882,88.1,-21.09167,-45.08389,G,2022-10-10,1999-12-03,,4d5c019f8d372,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,50852013,422415081,RUA LEVINDO GOMIDE,,MG,3149903,5M00G9W,WCDMA,,,2167.5,1977.5,240,FB,Greenfield,não,760,056001603518,16.1,25,74,2,X,50,039201301882,88.1,-21.09167,-45.08389,G,2022-10-10,1999-12-03,,4d5c019f8d373,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,59072012,422415081,RUA LEVINDO GOMIDE,,MG,3149903,20M0G7W,LTE,,,2680,2560,240,FB,Greenfield,não,760,056001603518,16.1,25,74,2,X,50,045621602519,40,-21.09167,-45.08389,G,2022-10-10,1999-12-03,,4d5c019f8d374,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,422415081,RUA LEVINDO GOMIDE,,MG,3149903,5M00G9W,WCDMA,,,874.5,829.5,60,FB,Greenfield,não,760,056001603518,16.1,25,74,2,X,50,000081201882,84.5,-21.09167,-45.08389,G,2022-10-10,1999-12-03,,4d5c019f8d375,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,422415081,RUA LEVINDO GOMIDE,,MG,3149903,5M00G9W,WCDMA,,,874.5,829.5,140,FB,Greenfield,não,760,056001603518,16.1,25,74,2,X,50,000081201882,84.5,-21.09167,-45.08389,G,2022-10-10,1999-12-03,,4d5c019f8d376,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,422415081,RUA LEVINDO GOMIDE,,MG,3149903,200KG7W,GSM,,,1871.25,1776.25,70,FB,Greenfield,não,760,000150201293,16.5,25,88,7,X,50,006030301882,33,-21.09167,-45.08389,G,2022-10-10,1999-12-03,,4d5c019f8d377,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,422415081,RUA LEVINDO GOMIDE,,MG,3149903,200KG7W,GSM,,,1871.25,1776.25,260,FB,Greenfield,não,760,000150201293,16.5,25,88,7,X,50,006030301882,33,-21.09167,-45.08389,G,2022-10-10,1999-12-03,,4d5c019f8d378,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,422415081,RUA LEVINDO GOMIDE,,MG,3149903,200KG7W,GSM,,,1873.75,1778.75,140,FB,Greenfield,não,760,012041105051,14,24,89,7,X,50,006030301882,33,-21.09167,-45.08389,G,2022-10-10,1999-12-03,,4d5c019f8d379,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,422415081,RUA LEVINDO GOMIDE,,MG,3149903,200KG7W,GSM,,,1873.75,1778.75,70,FB,Greenfield,não,760,000150201293,16.5,25,88,7,X,50,006030301882,33,-21.09167,-45.08389,G,2022-10-10,1999-12-03,,4d5c019f8d37a,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,422415081,RUA LEVINDO GOMIDE,,MG,3149903,200KG7W,GSM,,,1876.25,1781.25,70,FB,Greenfield,não,760,000150201293,16.5,25,88,7,X,50,006030301882,33,-21.09167,-45.08389,G,2022-10-10,1999-12-03,,4d5c019f8d37b,2023-04-29,,
