Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,689665075,AO LADO DA TORRE REP DE TV - MORADA NOVA,,MG,3154705,5M00G9W,WCDMA,,,874.5,829.5,323,FB,Greenfield,não,760,056001603518,16.1,25,74,13,X,40,000081201882,84.5,-21.17861,-45.06333,G,2021-09-20,2007-10-05,,4d5c01a0b1c44,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,689665075,AO LADO DA TORRE REP DE TV - MORADA NOVA,,MG,3154705,200KG7W,GSM,,,953.75,908.75,113,FB,Greenfield,não,760,056001603518,16.1,25,74,17.7,X,40,011560301882,50,-21.17861,-45.06333,G,2021-09-20,2007-10-05,,4d5c01a0b1c47,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,689665075,AO LADO DA TORRE REP DE TV - MORADA NOVA,,MG,3154705,200KG7W,GSM,,,1873.75,1778.75,183,FB,Greenfield,não,760,056001603518,16.1,25,74,13,X,40,006030301882,33,-21.17861,-45.06333,G,2021-09-20,2007-10-05,,4d5c01a0b1c48,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,689665075,AO LADO DA TORRE REP DE TV - MORADA NOVA,,MG,3154705,5M00G9W,WCDMA,,,874.5,829.5,113,FB,Greenfield,não,760,056001603518,16.1,25,74,13,X,40,000081201882,84.5,-21.17861,-45.06333,G,2021-09-20,2007-10-05,,4d5c01a0b1c49,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,689665075,AO LADO DA TORRE REP DE TV - MORADA NOVA,,MG,3154705,200KG7W,GSM,,,1871.25,1776.25,183,FB,Greenfield,não,760,056001603518,16.1,25,74,13,X,40,006030301882,33,-21.17861,-45.06333,G,2021-09-20,2007-10-05,,4d5c01a0b1c4a,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,689665075,AO LADO DA TORRE REP DE TV - MORADA NOVA,,MG,3154705,200KG7W,GSM,,,1876.25,1781.25,183,FB,Greenfield,não,760,056001603518,16.1,25,74,13,X,40,006030301882,33,-21.17861,-45.06333,G,2021-09-20,2007-10-05,,4d5c01a0b1c4b,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,689665075,AO LADO DA TORRE REP DE TV - MORADA NOVA,,MG,3154705,200KG7W,GSM,,,1878.75,1783.75,183,FB,Greenfield,não,760,056001603518,16.1,25,74,13,X,40,006030301882,33,-21.17861,-45.06333,G,2021-09-20,2007-10-05,,4d5c01a0b1c4c,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,689665075,AO LADO DA TORRE REP DE TV - MORADA NOVA,,MG,3154705,5M00G9W,WCDMA,,,874.5,829.5,183,FB,Greenfield,não,760,056001603518,16.1,25,74,13,X,40,000081201882,84.5,-21.17861,-45.06333,G,2021-09-20,2007-10-05,,4d5c01a0b1c4d,2023-04-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,679892007,689665075,AO LADO DA TORRE REP DE TV - MORADA NOVA,,MG,3154705,200KG7W,GSM,,,953.75,908.75,183,FB,Greenfield,não,760,056001603518,16.1,25,74,17.7,X,40,011560301882,50,-21.17861,-45.06333,G,2021-09-20,2007-10-05,,4d5c01a0b1c4f,2023-04-29,,
LIC-LIC-01,CLARO S.A.,50409307637,010,19592020,690869061,ROD BR 381,FAZENDA MONTE ALEGRE KM 673,MG,3154705,200KG7W,GSM,,,958.75,913.75,0,FB,Greenfield,não,760,005152003257,14.3,22,63,-2,X,60,004300400545,68,-21.15986,-45.11263,G,2022-09-28,2009-01-15,,4d5c01a0e03aa,2035-04-19,,
